id,call_number,borough_id,city,state_code,state_name,name,freebase_topic_id,floor_plans,public_notes,nondisplay_notes,phpbbno,created,modified,deleted,deleted_date
1,YR.0001.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
2,YR.0002.BR,BR,Brooklyn,NY,New York,"","",0,"","",0,,,0,
3,YR.0003.BR,BR,Brooklyn,NY,New York,Skylark,"",1,"","",127,,,0,
4,YR.0004.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
5,YR.0005.BR,BR,Brooklyn,NY,New York,118 Eighth Avenue,"",1,"","",0,,,0,
6,YR.0006.BR,BR,Brooklyn,NY,New York,Eighth Avenue Building,"",1,"","",0,,,0,
7,YR.0007.BR,BR,Brooklyn,NY,New York,Studio Apartments,"",1,"","",0,,,0,
8,YR.0008.BR,BR,Brooklyn,NY,New York,Menora Temple,"",1,"","",0,,,0,
9,YR.0009.BR,BR,Brooklyn,NY,New York,David Lewis House,"",1,"","",0,,,0,
10,YR.0010.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
11,YR.0011.BR,BR,Brooklyn,NY,New York,Benson Gardens,"",1,Builders: Mogo Construction Corp.,"",0,,,0,
12,YR.0012.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
13,YR.0013.BR,BR,Brooklyn,NY,New York,Falcon,"",1,Lobby design: Morris Lapidus,"",0,,,0,
14,YR.0014.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
15,YR.0015.BR,BR,Brooklyn,NY,New York,Colonial House,"",1,"","",0,,,0,
16,YR.0016.BR,BR,Brooklyn,NY,New York,Fiesta,"",1,Lobby design: Morris Lapidus,"",0,,,0,
17,YR.0017.BR,BR,Brooklyn,NY,New York,Barjo Homes,"",1,"","",0,,,0,
18,YR.0018.BR,BR,Brooklyn,NY,New York,Appraised Homes,"",1,"",Brochure never folded. Piece includes handwritten notes from previous owners.,0,,,0,
19,YR.0019.BR,BR,Brooklyn,NY,New York,Amherst,"",1,"","",0,,,0,
20,YR.0020.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
21,YR.0021.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
22,YR.0022.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
23,YR.0023.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
24,YR.0024.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
25,YR.0025.BR,BR,Brooklyn,NY,New York,Terrace,"",1,"","",0,,,0,
26,YR.0026.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
27,YR.0027.BR,BR,Brooklyn,NY,New York,Windsor,"",1,"","",0,,,0,
28,YR.0028.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
29,YR.0029.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
30,YR.0030.BR,BR,Brooklyn,NY,New York,Georgian,"",1,"","",0,,,0,
31,YR.0031.BR,BR,Brooklyn,NY,New York,Boropark Gardens,"",1,"",Brochure never completely folded.,0,,,0,
32,YR.0032.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
33,YR.0033.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
34,YR.0034.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
35,YR.0035.BR,BR,Brooklyn,NY,New York,Harbor Gardens,"",1,"","",50,,,0,
36,YR.0036.BR,BR,Brooklyn,NY,New York,Wynshore on the Narrows,"",1,"","",0,,,0,
37,YR.0037.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
38,YR.0038.BR,BR,Brooklyn,NY,New York,Ronnie Plaza,"",1,"","",0,,,0,
39,YR.0039.BR,BR,Brooklyn,NY,New York,Fairfax House,"",1,"","",0,,,0,
40,YR.0040.BR,BR,Brooklyn,NY,New York,De Nyse,"",1,"","",0,,,0,
41,YR.0041.BR,BR,Brooklyn,NY,New York,Barclay House,"",1,"","",0,,,0,
42,YR.0042.BR,BR,Brooklyn,NY,New York,Richard Gardens,"",1,"","",0,,,0,
43,YR.0043.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
44,YR.0044.BR,BR,Brooklyn,NY,New York,Jamestown,"",1,"","",0,,,0,
45,YR.0045.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
46,YR.0046.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
47,YR.0047.BR,BR,Brooklyn,NY,New York,Dyker Hall,"",1,"","",0,,,0,
48,YR.0048.BR,BR,Brooklyn,NY,New York,"","",1,"","",72,,,0,
49,YR.0049.BR,BR,Brooklyn,NY,New York,Concord Village,"",1,"","",0,,,0,
50,YR.0050.BR,BR,Brooklyn,NY,New York,Beaumont,"",1,"","",0,,,0,
51,YR.0051.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
52,YR.0052.BR,BR,Brooklyn,NY,New York,Governor Winthrop,"",1,"","",0,,,0,
53,YR.0053.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
54,YR.0054.BR,BR,Brooklyn,NY,New York,"","",1,Piece includes handwritten notes from previous owners.,"",0,,,0,
55,YR.0055.BR,BR,Brooklyn,NY,New York,Albemarle Gardens,"",1,"","",0,,,0,
56,YR.0056.BR,BR,Brooklyn,NY,New York,Albemarle,"",1,"","",0,,,0,
57,YR.0057.BR,BR,Brooklyn,NY,New York,Albemarle,"",1,"","",0,,,0,
58,YR.0058.BR,BR,Brooklyn,NY,New York,Berkley Square,"",1,"","",73,,,0,
59,YR.0059.BR,BR,Brooklyn,NY,New York,Crestwood,"",1,"","",0,,,0,
60,YR.0060.BR,BR,Brooklyn,NY,New York,Collingswood,"",1,"","",0,,,0,
61,YR.0061.BR,BR,Brooklyn,NY,New York,Duple,"",1,Lobby design: Caleb Hornbostel,"",0,,,0,
62,YR.0062.BR,BR,Brooklyn,NY,New York,"","",1,Sme building as YR.0063.BR.,"",0,,,0,
63,YR.0063.BR,BR,Brooklyn,NY,New York,Vendome Gardens,"",1,Same building as YR.0062.BR.,"",0,,,0,
64,YR.0064.BR,BR,Brooklyn,NY,New York,Colonial House,"",1,Brochure artwork: William G. Pollack.,"",0,,,0,
65,YR.0065.BR,BR,Brooklyn,NY,New York,Finke Terrace,"",1,"","",0,,,0,
66,YR.0066.BR,BR,Brooklyn,NY,New York,Kings Oaks Terrace,"",1,"","",0,,,0,
67,YR.0067.BR,BR,Brooklyn,NY,New York,Mansfield Gardens,"",1,"","",48,,,0,
68,YR.0068.BR,BR,Brooklyn,NY,New York,Cromwell,"",1,"","",0,,,0,
69,YR.0069.BR,BR,Brooklyn,NY,New York,Markham,"",1,"","",0,,,0,
70,YR.0070.BR,BR,Brooklyn,NY,New York,Esplanade,"",1,"","",0,,,0,
71,YR.0071.BR,BR,Brooklyn,NY,New York,Hubbard Arms,"",1,"","",0,,,0,
72,YR.0072.BR,BR,Brooklyn,NY,New York,Leeward House,"",1,"","",0,,,0,
73,YR.0073.BR,BR,Brooklyn,NY,New York,Hampshire,"",1,"","",0,,,0,
74,YR.0074.BR,BR,Brooklyn,NY,New York,Mayfair House,"",1,"","",0,,,0,
75,YR.0075.BR,BR,Brooklyn,NY,New York,Victoria Court,"",1,"","",0,,,0,
76,YR.0076.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
77,YR.0077.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
78,YR.0078.BR,BR,Brooklyn,NY,New York,Kings Oaks Apartments,"",1,"","",0,,,0,
79,YR.0079.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
80,YR.0080.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
81,YR.0081.BR,BR,Brooklyn,NY,New York,Parkview,"",1,"","",0,,,0,
82,YR.0082.BR,BR,Brooklyn,NY,New York,"Colonnades North, Collonades South","",1,"""Colonnades"" also spelled ""Collonades""","",0,,,0,
83,YR.0083.BR,BR,Brooklyn,NY,New York,Kinsor House,"",1,"","",0,,,0,
84,YR.0084.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
85,YR.0085.BR,BR,Brooklyn,NY,New York,Marine Park Gardens,"",1,"","",0,,,0,
86,YR.0086.BR,BR,Brooklyn,NY,New York,Branton Apartments,"",1,"","",0,,,0,
87,YR.0087.BR,BR,Brooklyn,NY,New York,"","",1,"","",0,,,0,
88,YR.0088.BR,BR,Brooklyn,NY,New York,Shoreham Park - The Danbury,"",1,"","",0,,,0,
89,YR.0089.BR,BR,Brooklyn,NY,New York,Shoreham Park - The Plymouth,"",1,"","",0,,,0,
90,YR.0090.BR,BR,Brooklyn,NY,New York,Shoreham Park - The Newport,"",1,"","",0,,,0,
91,YR.0091.BR,BR,Brooklyn,NY,New York,Oakwood House,"",1,"","",0,,,0,
92,YR.0092.BR,BR,Brooklyn,NY,New York,Atlantic Towers North,"",1,"","",0,,,0,
93,YR.0093.BR,BR,Brooklyn,NY,New York,Palmer Apartments,"",1,"","",0,,,0,
94,YR.0094.BR,BR,Brooklyn,NY,New York,Kings Bay Houses,"",1,"","",0,,,0,
95,YR.0095.BR,BR,Brooklyn,NY,New York,Atlantic Towers,"",1,Brochure artwork dated 1958,"",0,,,0,
96,YR.0096.BR,BR,Brooklyn,NY,New York,Banner Arms,"",1,"","",0,,,0,
97,YR.0097.BR,BR,Brooklyn,NY,New York,Royale Apartments,"",1,"","",0,,,0,
98,YR.0098.BR,BR,Brooklyn,NY,New York,Cropsey Towers,"",1,"","",0,,,0,
